name	issuer	category	suffix	sourceUrl	nearest	score
Gemini Credit Card	Gemini Credit	信用卡	Mastercard	https://card.lengziyu.cn	MiniPay	0.615
Jeton Card	Jeton	U卡	Mastercard	https://card.lengziyu.cn	AEON	0.667
Kontigo Card	Kontigo	U卡	VISA	https://card.lengziyu.cn	Ontop	0.667
Pera Card	Pera	U卡	Mastercard	https://card.lengziyu.cn	HyperPay	0.667
Blofin Card	Blofin	U卡	Mastercard	https://card.lengziyu.cn	Goblin Cards	0.667
Machines Card	Machines	U卡	VISA	https://card.lengziyu.cn	MINE Card	0.667
Lemon Card	Lemon	U卡	VISA	https://card.lengziyu.cn	AEON	0.667
Mpcvault Card	Mpcvault	U卡	VISA	https://card.lengziyu.cn	MPCHAT	0.714
Txbfi Card	Txbfi	U卡	VISA	https://card.lengziyu.cn	HTX (Huobi)	0.571
Antarctic Card	Antarctic	U卡	Mastercard	https://card.lengziyu.cn	Bitmart	0.5
Bitsa Card	Bitsa	U卡	VISA	https://card.lengziyu.cn	Bitsika	0.833
Solflare Card	Solflare	U卡	Mastercard	https://card.lengziyu.cn	Solayer Pay	0.667
Topnod Card	Topnod	U卡	Mastercard	https://card.lengziyu.cn	Onboard Card	0.615
Orbitx Card	Orbitx	U卡	VISA	https://card.lengziyu.cn	Orbital	0.769
Ruvo Card	Ruvo	U卡	VISA	https://card.lengziyu.cn	Cero	0.5
Fuse Card	Fuse	U卡	VISA	https://card.lengziyu.cn	Fasset	0.6
Coinw Card	Coinw	U卡	Mastercard	https://card.lengziyu.cn	CoinEx	0.727
Zoomex Card	Zoomex	U卡	Mastercard	https://card.lengziyu.cn	CoinZoom Card	0.571
Xverse Card	Xverse	U卡	Mastercard	https://card.lengziyu.cn	Neverless	0.533
Benpay Card	Benpay	U卡	ALPHA	https://card.lengziyu.cn	BitPay Card	0.667
Geme Card	Geme	U卡	VISA	https://card.lengziyu.cn	Tangem Pay	0.6
Bipa Card	Bipa	U卡	Mastercard	https://card.lengziyu.cn	BitPay Card	0.8
Takenos Card	Takenos	U卡	VISA	https://card.lengziyu.cn	Kraken	0.615
Mxi Card	Mxi	U卡	Mastercard	https://card.lengziyu.cn	MINE Card	0.571
Ur Card	Ur	U卡	Mastercard	https://card.lengziyu.cn	Pursa	0.571
Nbs. Card	Nbs.	U卡	crypto	https://card.lengziyu.cn	Nebeus Card	0.667
Bit2me Card	Bit2me	U卡	Mastercard	https://card.lengziyu.cn	BIT	0.667
Blackcat Card	Blackcat	U卡	Mastercard	https://card.lengziyu.cn	Black Banx	0.667
Bonkx Card	Bonkx	U卡	Mastercard	https://card.lengziyu.cn	OKX Card	0.75
Coinup Card	Coinup	U卡	Mastercard	https://card.lengziyu.cn	CoinEx	0.667
Tonhub Card	Tonhub	U卡	VISA	https://card.lengziyu.cn	Foton	0.545
Emoney Card	Emoney	U卡	Mastercard	https://card.lengziyu.cn	OneKey	0.667
Belo Card	Belo	U卡	VISA	https://card.lengziyu.cn	Cero	0.5
Endl Card	Endl	U卡	Mastercard	https://card.lengziyu.cn	Vexl	0.5
Rapidz Card	Rapidz	U卡	Mastercard	https://card.lengziyu.cn	Ready Card	0.545
Credits Debit Card	Credits	信用卡	Mastercard	https://card.lengziyu.cn	Cardbyt	0.571
Slush Card	Slush	U卡	crypto	https://card.lengziyu.cn	SuperCash	0.571
Zar Card	Zar	U卡	crypto	https://card.lengziyu.cn	Airtm Card	0.5
Avalanche Card	Avalanche	U卡	VISA	https://card.lengziyu.cn	Travala	0.625
Exodus Card	Exodus	U卡	Mastercard	https://card.lengziyu.cn	Nexo Card	0.6
Fold Card	Fold	U卡	VISA	https://card.lengziyu.cn	Solcard	0.545
Raycash Card	Raycash	U卡	Mastercard	https://card.lengziyu.cn	Firma Cash	0.706
Coinjar Card	Coinjar	U卡	Mastercard	https://card.lengziyu.cn	CoinCola	0.667
EB1 Card	EB1	U卡	GOLD	https://card.lengziyu.cn	Zebec Card	0.5
Pyra Card	Pyra	U卡	VISA	https://card.lengziyu.cn	Pursa	0.667
Rizon Card	Rizon	U卡	VISA	https://card.lengziyu.cn	Girin Card	0.6
Secondfi Card	Secondfi Card	U卡	Mastercard	https://card.lengziyu.cn	Odix Card	0.5
Ultimopay Card	Ultimopay	U卡	VISA	https://card.lengziyu.cn	UPay Card	0.615
Meow Card	Meow	U卡	VISA	https://card.lengziyu.cn	Cero	0.5
Based Card	Based	U卡	VISA	https://card.lengziyu.cn	Basal Pay	0.6
Spenda Card	Spenda	U卡	crypto	https://card.lengziyu.cn	Cenoa	0.545
Exa Card	Exa	U卡	VISA	https://card.lengziyu.cn	Nexo Card	0.571
Fiwind Card	Fiwind	U卡	Mastercard	https://card.lengziyu.cn	Girin Card	0.545
Shakepay Card	Shakepay	U卡	VISA	https://card.lengziyu.cn	KazePay	0.667
Mobilum Card	Mobilum	U卡	Mastercard	https://card.lengziyu.cn	Orbital	0.571
Aisi Bank Card	Aisi	银行账户	VISA	https://card.lengziyu.cn	Xapo Bank	0.667
Tap Card	Tap	U卡	Mastercard	https://card.lengziyu.cn	Tazapay	0.6
Extsy Card	Extsy	U卡	VISA	https://card.lengziyu.cn	GetSurf	0.5
Venmo Debit Card	Venmo	借记卡	Mastercard	https://card.lengziyu.cn	Cenoa	0.6
Brighty Card	Brighty	U卡	ONE	https://card.lengziyu.cn	Bitget	0.615
Dicard Card	Dicard	U卡	Mastercard	https://card.lengziyu.cn	DeCard (DCS)	0.625
Paypal Debit Card	Paypal	借记卡	Mastercard	https://card.lengziyu.cn	Mypal	0.727
One Banking Card	One Banking	银行账户	Mastercard	https://card.lengziyu.cn	Xapo Bank	0.6
Busha Card	Busha	U卡	Mastercard	https://card.lengziyu.cn	Basal Pay	0.6
Ledger Card	Ledger	U卡	VISA	https://card.lengziyu.cn	GetSurf	0.462
Thorwallet Card	Thorwallet	U卡	Mastercard	https://card.lengziyu.cn	Wallet	0.75
Deblock Card	Deblock	U卡	VISA	https://card.lengziyu.cn	Zebec Card	0.5
Utorg Card	Utorg	U卡	Mastercard	https://card.lengziyu.cn	eToro	0.6
Bitpanda Card	Bitpanda	U卡	VISA	https://card.lengziyu.cn	BitPay Card	0.714
El Dorado Card	El Dorado	U卡	VISA	https://card.lengziyu.cn	eToro	0.571
Stealf Card	Stealf	U卡	crypto	https://card.lengziyu.cn	SafePal Card	0.615
Crydit Card	Crydit	U卡	VISA	https://card.lengziyu.cn	Cardbyt	0.615
Trustee Card	Trustee	U卡	VISA	https://card.lengziyu.cn	Request Finance	0.455
Kem Card	Kem	U卡	VISA	https://card.lengziyu.cn	Kraken	0.444
Cex.io Card	Cex.io	U卡	Mastercard	https://card.lengziyu.cn	Gate.io	0.615
Osmosis Pay Card	Osmosis Pay	U卡	VISA	https://card.lengziyu.cn	Gnosis Card	0.615
Plutus Card	Plutus	U卡	VISA	https://card.lengziyu.cn	Pursa	0.545
Token Pocket Card	Token Pocket	U卡	crypto	https://card.lengziyu.cn	OKX DEX - xStocks aggregator	0.474
Wayex Card	Wayex	U卡	VISA	https://card.lengziyu.cn	Wirex	0.6
Moonwell Card	Moonwell	U卡	VISA	https://card.lengziyu.cn	NoOnes	0.571
Bitstack Card	Bitstack	U卡	VISA	https://card.lengziyu.cn	Bitsika	0.667
Imtoken Card	Imtoken	U卡	Mastercard	https://card.lengziyu.cn	Moto Card	0.545
Uphold Debit Card	Uphold Debit	借记卡	Mastercard	https://card.lengziyu.cn	Holyheld	0.571
Apple Card	Apple	信用卡	Mastercard	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/Apple	Wallet	0.545
ZA Card	ZA Bank	借记卡	VISA	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/ZA%20Bank	KazePay	0.444
HSBC Mastercard Debit Card	HSBC HK	借记卡	World	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/The%20Hongkong%20and%20Shanghai%20Banking%20Corporation	SGB	0.571
HSBC Premier Mastercard	HSBC HK	信用卡	World	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/The%20Hongkong%20and%20Shanghai%20Banking%20Corporation	PlasBit Card + Transfers	0.414
HSBC Red Credit Card	HSBC HK	信用卡	Visa	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/The%20Hongkong%20and%20Shanghai%20Banking%20Corporation	Solcard	0.533
BOC Mastercard Debit Card	Bank of China Hong Kong	借记卡	Platinum	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/Bank%20of%20China%20(Hong%20Kong)	COCA	0.571
Bank of America Visa Debit Card	Bank of America	借记卡	VISA	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/Bank%20of%20America	BitsikaAfrica	0.5
WeLab Debit Card	WeLab Bank	借记卡	Platinum	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/WeLab%20Bank	Hawala Visa Card	0.545
Hang Seng Prestige ATM Card	Hang Seng Bank	借记卡	UnionPay	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/Hang%20Seng%20Bank	Raenest	0.414
Chase Freedom Flex	Chase	信用卡	Mastercard	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/Chase	Freedom24	0.519
Blue Cash Everyday	American Express	信用卡	AMEX	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/American%20Express	SuperCash	0.444
Hilton Honors American Express Card	American Express	信用卡	AMEX	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/American%20Express	Zypto × MoneyGram Ramps	0.471
Marriott Bonvoy American Express Card	American Express	信用卡	AMEX	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/American%20Express	Karta (Conkarta)	0.391
Monzo Mastercard	Monzo Bank	借记卡	Mastercard	https://monzo.com/current-account/personal	Moto Card	0.667
MariBank Card	MariBank	信用卡	Mastercard	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/MariBank	Gaian	0.615
livi Debit Mastercard	livi Bank	借记卡	Mastercard	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/livi%20Bank	Lava Card	0.5
Revolut Standard	Revolut	借记卡	VISA	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/Revolut%20Singapore	Request Finance	0.452
Trust Link Card	Trust Bank	借记卡	VISA	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/Trust	Request Finance	0.56
Starling Bank Debit Card	Starling Bank	借记卡	Mastercard	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/Starling%20Bank	Saxo Bank	0.636
N26 Standard Mastercard	N26	借记卡	Mastercard	https://n26.com/en-eu/free-bank-account	NexasCard	0.476
N26 Smart Mastercard	N26	借记卡	Mastercard	https://n26.com/en-eu/bank-account	Bitmart	0.5
N26 Go Mastercard	N26	借记卡	Mastercard	https://n26.com/en-eu/you-bank-account-with-travel-insurance	Zen.com	0.462
N26 Metal Mastercard	N26	借记卡	Mastercard	https://n26.com/en-eu/metal	Moreta Pay	0.533
Chime Visa Debit Card	Chime	借记卡	VISA	https://www.chime.com/debit-card/	CoinEx	0.545
Chase Sapphire Preferred	Chase	信用卡	Visa	https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred	Dinari wrapped dShares (DEX/DeFi)	0.4
Chase Sapphire Reserve	Chase	信用卡	Visa	https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve	Dinari wrapped dShares (DEX/DeFi)	0.415
Chase Freedom Unlimited	Chase	信用卡	Visa	https://creditcards.chase.com/cash-back-credit-cards/freedom/unlimited	Freedom24	0.438
Capital One Venture	Capital One	信用卡	Visa	https://www.capitalone.com/credit-cards/venture/	Payoneer	0.444
Capital One Quicksilver	Capital One	信用卡	Cash	https://www.capitalone.com/credit-cards/quicksilver/	Jupiter Mobile	0.432
American Express Platinum Card	American Express	信用卡	Platinum	https://www.americanexpress.com/us/credit-cards/card/platinum/	TradeZero International	0.458
American Express Gold Card	American Express	信用卡	Gold	https://www.americanexpress.com/us/credit-cards/card/gold-card/	MEXC Global	0.438
Citi Double Cash Card	Citi	信用卡	Cash	https://www.citi.com/credit-cards/citi-double-cash-credit-card	Crypto Cash Card	0.593
Citi Custom Cash Card	Citi	信用卡	Cash	https://www.citi.com/credit-cards/citi-custom-cash-credit-card	Crypto Cash Card	0.593
Bank of America Customized Cash Rewards	Bank of America	信用卡	Cash	https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/	Binance bStocks (DEX / PancakeSwap)	0.4
Wells Fargo Active Cash Card	Wells Fargo	信用卡	Visa	https://creditcards.wellsfargo.com/active-cash-credit-card/	Ether.fi Cash	0.5
Discover it Cash Back	Discover	信用卡	Cash	https://www.discover.com/credit-cards/cash-back/it-card.html	Ether.fi Cash	0.529
UU Wallet Card	UU Wallet	U卡	VISA	https://www.uuwallet.com/	Hurupay	0.444
DPT Oxygen Platinum Card	DPT Oxygen	U卡	DPT	https://dpt.xyz/	Peanut	0.4
Jam Card	Jam	U卡	STANDARD	https://www.todey.xyz/card/jam-card/	Airtm Card	0.5
Hevn Card	Hevn	U卡	STANDARD	https://www.todey.xyz/card/hevn-card/	Haven Card	0.667
Cashi Card	Cashi	U卡	STANDARD	https://www.todey.xyz/card/cashi-card/	SuperCash	0.571
Reah Card	Reah	U卡	STANDARD	https://www.todey.xyz/card/reah-card/	Ready Card	0.667
Keyflo Card	Keyflo	U卡	STANDARD	https://www.todey.xyz/card/keyflo-card/	Kolo	0.6
Veera Card	Veera	U卡	STANDARD	https://www.todey.xyz/card/veera-card/	HyperPay	0.462
Fasqon Card	Fasqon	U卡	STANDARD	https://www.todey.xyz/card/fasqon-card/	Laso Card	0.6
Bringin Card	Bringin	U卡	STANDARD	https://www.todey.xyz/card/bringin-card/	Bing Card	0.727
Lydian Card	Lydian	U卡	STANDARD	https://www.todey.xyz/card/lydian-card/	Gaian	0.545
Winity Card	Winity	U卡	VISA	https://www.todey.xyz/card/winity-card/	MiniPay	0.615
Western Union Stablecard	Western Union	U卡	VISA	https://www.todey.xyz/card/western-union-stablecard/	Western Union Digital Asset Network	0.644
Tevau Card	Tevau	U卡	VISA	https://www.todey.xyz/card/tevau-card/	Travala	0.5
Stack Card	Stack	U卡	VISA	https://www.todey.xyz/card/stack-card/	Backpack	0.462
Startale Card	Startale	U卡	VISA	https://www.todey.xyz/card/startale-card/	Airwallex	0.588
OppiWallet Card	OppiWallet	U卡	Mastercard	https://www.todey.xyz/card/oppiwallet-card/	Wallet	0.75
Lumo Debit Card	Lumo	U卡	VISA / Mastercard	https://www.todey.xyz/card/lumo-debit-card/	Kolo	0.5
Kolan Card	Kolan	U卡	VISA	https://www.todey.xyz/card/kolan-card/	Kolo	0.667
Kite Card	Kite	U卡	VISA	https://www.todey.xyz/card/kite-card/	Bitget	0.6
Interlace Infinity Card	Interlace	U卡	VISA / Mastercard	https://www.todey.xyz/card/interlace-card/	Bitget Wallet × Fiat24 Card	0.452
DeFi.com Card	DeFi.com	U卡	VISA	https://www.todey.xyz/card/defi-com-card/	Zen.com	0.667
Brave Rewards Card	Brave	U卡	VISA / Mastercard	https://www.todey.xyz/card/brave-rewards-card/	Raenest	0.5
